word,jyutping
漸弱,zim6 joek6
桓桓,wun4 wun4
淘一淘,
軟席,jyun5 zik6
賴臉,laai6 lim5
包待制,baau1 doi6 zai3
步罡踏斗,bou6 gong1 daap6 dau2
嫌棄佢,
唔夠搏,
不拿功能,
意境燈飾,
潞西,lou6 sai1
亞傻,aa3 so4
裹挾,gwo2 hip6
旺鐘,wong6 zung1
劏光豬,tong1 gwong1 zyu1
天光光,
橐龠,tok3 joek6
好快還,
戊醇,mou6 seon4
泥崗,
恐怖片兒,hung2 bou3 pin2 ji4
整數集合,zing2 sou3 zaap6 hap6
腦海漂浮,
清算人,
麪窩,min6 wo1
車刀,ce1 dou1
岩流圈,ngaam4 lau4 hyun1
艾瑞卡,ngaai6 seoi6 kaa1
我要扯嘞,
耀西,jiu6 sai1
去佛山,
理發師傅,
燦仔,caan3 zai2
區佬,keoi1 lou2
縱橫字謎,zung1 waang4 zi6 mai4
安圭拉,on1 gwai1 laai1
粥粉面,
困住死去,kwan3 zyu6 sei2 heoi3
余車,jyu4 ce1
送客檯,sung3 haak3 toi4
搶掠一空,
拉孜縣,laai1 zi1 jyun6
倒插門,dou2 caap3 mun4
打咗啦,
嘮嗑,lou4 gaap3
贊拜,zaan3 baai3
遭難,zou1 naan6
挨𩩍椅,aai1 peng1 ji2
丹邱,
夾粗,gaap3 cou1
你嘅懷抱,
老公早晨,
歐陽予倩,au1 joeng4 jyu5 sin6
𥄫緊,
如上所述,jyu4 soeng6 so2 seot6
舜帝陵,seon3 dai3 ling4
酗訟,jyu3 zung6
幾案,gei1 on3
麻骨柺杖,maa4 gwat1 gwaai2 zoeng6
蝶語,
担挑,daam3 tiu1
薊馬,gai3 maa5
聚晤,zeoi6 ng6
柘樹,ze3 syu6
滎陽縣,jing4 joeng4 jyun6
豐神,
東河鄉,dung1 ho4 hoeng1
喜笑顏開,hei2 siu3 ngaan4 hoi1
憤激,fan5 gik1
揚穀,joeng4 guk1
基址,gei1 zi2
昏頭,fan1 tau4
灰士,fiu1 si2
椰子貓,je4 zi2 maau1
巡警大隊,
還沒沖涼,
你喜歡咯,
逸事遺聞,jat6 si6 wai4 man4
窘匱,kwan3 gwai6
蘭室,laan4 sat1
好妒忌,
阿洛菲,aa3 lok6 fei1
凌濛初,ling4 mung4 co1
金色童年,
籮摪,lo4 coeng3
又喺啵,
扇尾沙錐,sin3 mei5 saa1 zeoi1
發積,faat3 zik1
撈屄,
打困籠,daa2 kwan3 lung2
圓內螺線,jyun4 noi6 lo4 sin3
溪州鄉,kai1 zau1 hoeng1
點穿,dim2 cyun1
龍芯,lung4 sam1
食蝨米,
杏領,hang6 leng5
怪我囉,
豬仔客,zyu1 zai2 haak3
足晒用神,zuk1 saai3 jung6 san4
越活越好,
落地扇,lok6 dei6 sin3
重櫃,cung4 gwai6
方滋未艾,fong1 zi1 mei6 ngaai6
足赤,zuk1 cek3
西鄉塘區,sai1 hoeng1 tong4 keoi1
出了哥,ceot1 liu1 go1
扣月租,
牧犬,muk6 hyun2
貼錢做嘢,
安瓦爾,on1 ngaa5 ji5
走向復興,
鬥趣兒,dau3 ceoi3 ji4
歆慕,jam1 mou6
詐唬,zaa3 fu2
萬死一生,maan6 sei2 jat1 sang1
烏豆,wu1 dau2
遁形,deon6 jing4
蘇爾尼,
老邊區,lou5 bin1 keoi1
瓊脂,king4 zi1
單封,daan1 fung1
二進制碼,ji6 zeon3 zai3 maa5
看不看到,
三日香,saam1 jat6 hoeng1
不謂,bat1 wai6
十日談,sap6 jat6 taam4
