char,fq
干,118
平地,12
平坦,6
平實,6
平復,4
平成,7
平步青雲,4
平淡,33
平等,50
平面,15
年事已高,3
年份,19
年紀,119
年級,23
年薪,11
年青,130
幸運,46
幹,125
幼兒,22
幼童,5
幾何,32
幾度,22
幾錢,21
幾點,29
底下,88
底線,53
度住,8
度日,12
度縮,2
度過,30
度高,10
座右銘,1
廂,122
廉,103
廉價,24
廉政,5
廉政公署,3
廉潔,10
廉署,17
廉航,2
廉記,2
廝,18
廢寢忘餐,5
廢水,24
廢置,2
廢除,12
廢青,33
建制,97
建制派,54
建構,17
弦,37
弱點,20
張口,3
強制,15
強勁,22
強姦,26
強差人意,2
強求,16
強硬,24
彈槍,3
彩數,2
彰,18
影院,8
往後,70
律師,103
後世,24
後生仔,300
得個講字,3
得手,16
得米,7
得罪講句,13
得過,73
得過且過,6
從不,15
從此,36
復古,6
循,95
循序漸進,5
循環,38
微妙,5
微小,5
微軟,14
心事,27
心儀,18
心安,31
心安理得,20
心水,38
心水清,7
心算,6
心臟,17
心臟病,5
心裡,97
心諗,220
心邪,4
心酸,7
忍辱負重,4
忠實,15
忠直,7
快感,30
快餐,24
怖,175
思想家,4
怡人,5
性命,23
性能,9
怨婦,1
怨氣,6
怨言,6
怪物,53
怪獸,37
怪獸家長,15
恆指,32
恍,24
恍然,19
恐怖,171
恐怖襲擊,25
恐防,2
恤,81
恤衫,70
恥笑,79
恨錯,6
恩師,1
恭喜發財,20
恭賀,3
悄,24
悄悄,9
悔恨,4
悔改,4
悔過,11
悲痛,10
悵,12
悼念,26
情信,14
情報,25
情景,56
情歌,11
惋,8
惋惜,8
惘然,8
惡作,12
惡作劇,12
惡夢,12
惡行,9
惶,32
惺惺作態,3
愁,75
意味,49
意料,83
意象,26
愚蠢,23
慣例,4
慣性,20
憐憫,17
憫,17
憲,40
憲法,10
憲章,4
懂得,44
應承,78
應酬,18
應驗,5
懷緬,8
懷舊,10
懺,15
懺悔,15
戇居,30
成份,47
成功感,4
成千上萬,15
成效,16
成本,98
成果,45
成立,48
成語,18
戒心,7
戒指,33
或多或少,18
戟,2
戰亂,6
戰友,24
戰役,6
所作所為,14
手下,64
手令,2
手勢,62
手尾,18
手掣,6
手法,70
手腕,18
手藝,8
手遊,1
扑,106
扒,59
打出,25
打印,33
打壓,28
打字,42
打尖,11
打得,47
打救,11
打機,115
打死,52
打波,26
打滾,21
打獵,4
打理,10
打真軍,6
打轉,20
扭計,13
扮晒蟹,3
扯上,6
扶植,3
抆,12
把戲,6
投機,5
投資,78
折現,2
折磨,30
抬高,13
抵得,28
抵得諗,7
抵諗,2
抹殺,11
抽水,57
抽離,10
拉人,4
拋物線,3
拍掌,2
拑,4
拜見,3
拳賽,1
持久,10
持之以恆,3
持平,13
指令,12
指定,15
指導,11
指指點點,12
指數,26
指標,21
指責,19
指點,28
按揭,8
挑機,6
挽留,7
捕,124
捕捉,14
捱苦,4
捷,25
捷徑,9
捽,46
掃盲,4
掉落,7
排名,14
排擠,4
排放,5
掘金,2
掛住,143
掛勾,11
掛畫,2
採取,33
掣,105
接二連三,8
接力,10
接手,17
接著,19
接軌,10
推展,4
推拿,2
推敲,21
推算,8
推行,21
推銷,6
推銷員,2
掩蓋,15
提升,68
提早,27
插曲,10
插隊,7
換句話說,109
換畫,3
換轉,6
揼心,4
揼心口,4
損手,4
搏,85
搏殺,13
搏老命,2
搖身一變,1
搗,17
搗亂,10
搜,88
搞亂,18
搞亂檔,3
搞手,7
搞錯,119
搬屋,9
搵工,22
搶奪,2
摺遮,3
撚化,11
撞邪,7
撥號上網,2
撩,33
撩交打,3
播放,10
撲水,1
撼,42
擁戴,11
擁護,6
操作,36
擔驚受怕,1
擘,27
據理力爭,7
擢,3
擢升,3
擦,105
擦鞋,16
擦鞋仔,4
擲,40
擲公字,1
擲骰,4
擺烏龍,1
支票,12
收入,63
收割,6
收埋,59
改名,21
改寫,22
改為,20
改裝,5
放下,36
放假,46
放大,34
放生,10
放空,10
政令,2
政局,17
政權,47
政策,72
效果,77
敍利亞,4
救贖,11
敗露,6
散彈,3
散彈槍,3
散沙,6
散熱,16
敬意,5
敲打,4
整天,8
敵對,2
數一數二,7
數以,17
數理,12
斃,19
文件,56
文員,10
文明,96
文職,5
文言,65
文革,20
斧,31
斬纜,5
斬釘截鐵,12
新年,76
新月,7
斷然,7
斷線,7
方位,6
方向,146
施教,4
施施然,26
施暴,3
施行,3
旁門左道,3
旅遊,47
日夜,24
日新月異,4
日落,44
日記,19
日頭,12
旦,69
旨意,36
早前,26
早排,10
早期,28
早餐,56
昆,18
明刀明槍,8
明文規定,4
明日黃花,4
明爭暗鬥,3
明理,4
昏暗,15
星期五,39
映照,6
春日,5
是否,75
是咪,14
是必,7
是日,14
時下,17
時份,11
時段,16
時裝,17
時速,4
晉升,6
普世,15
普教中,21
普通話,373
景氣,2
智商,43
智能,52
智能電話,30
暑,115
暑假,63
暖包,2
暖水袋,3
暗中,26
暗地,29
暗地裡,23
暗瘡,10
暗黑,18
暢通,10
暢遊,3
暢順,5
暴動,13
暴君,3
暴斃,2
暴行,5
暴風,17
曉,95
曲線,14
更改,11
更新,33
更替,3
書信,10
書局,16
書本,17
書架,56
書法家,3
書面,103
書面語,64
曾幾何時,21
最尾,41
會上,63
會意,19
會所,4
會考,40
會長,26
月內,8
月相,3
有些,105
有加,3
有名,32
有平,8
有意無意,22
有撚,3
有望,11
有樣學樣,5
有毛有翼,2
有目共睹,6
有種,89
有突,10
有線,5
有聲,23
有行,12
有講有笑,9
朋友仔,4
朔,7
木馬,2
未有耐,3
未竟,5
未竟全功,4
未雨綢繆,2
末,160
末日,61
末期,9
本地,136
本意,15
朱,76
杉,10
杜,106
杭,6
杭州,5
東南,21
東南亞,13
東西,86
枉,38
枉死,2
枚,32
果汁,10
枝節,10
架嘛,142
某些,49
柒頭,16
查家宅,2
查實,11
查辦,3
柳,24
格仔,26
格外,8
格鬥,16
桌,10
桌面,3
桑,28
條款,12
條目,14
梯隊,2
械,45
梳,96
梳乎,4
棋,76
棋子,9
棘,13
極其,63
極力,11
極權,15
極為,56
概括,12
榜,50
榜上有名,4
構建,6
構思,12
構造,14
樂得,6
樂趣,23
標冷汗,5
標榜,19
標籤,37
標誌,19
模型,26
橋段,16
機位,5
機友,7
機器,24
機智,3
機械,34
機械人,21
機管局,2
機警,3
機遇,5
橫衝直撞,4
檻,16
櫃位,10
權術,3
權變,2
權鬥,52
欠,94
欠缺,19
次等,5
次要,19
欺善怕惡,3
欺負,5
歌頌,15
歎息,7
歡笑,16
止痛,4
正字,28
正所謂,51
正是,35
正牌,5
正當,111
正直,9
正經,66
正義感,3
此外,8
此時此刻,21
此言差矣,4
武俠,15
武功,27
武士道,5
武林,14
歪風,2
歷歷在目,8
歸納,26
死咁,23
死因,13
死得人多,4
死機,2
死死地氣,5
死物,7
死狗,6
死症,3
死神,19
死罪,12
死角,9
死路,20
死路一條,13
死鬼,11
死黨,23
殺傷力,10
毀於一旦,3
母親節,19
母語,99
比如,11
比比皆是,9
毛孔,2
民心,18
民意,37
民生,22
氣勢,17
水源,6
水質,3
水銀,5
水電,4
水馬,7
永世,18
氾,3
氾濫,3
求婚,19
求學,12
求生,17
汗水,13
汞,1
污染,34
汰,27
沈,54
沉溺,10
沉迷,28
沐浴,6
沙包,6
沙漠,7
沙紙,13
沛,10
河粉,5
治本,5
治療,25
沼,4
沼澤,2
沽,14
沽空,4
沿海,5
泌,5
法國人,8
法寶,7
法律,211
法治,76
泛,177
泛民,101
波幅,5
波浪,8
泥古,13
泥膠,4
泰山,15
泳,68
泳池,38
洋鬼子,4
洗底,8
洗耳恭聽,4
洗腦,22
洞察,4
洞察力,4
活潑,16
活生生,13
派對,17
派系,7
流利,24
流動,28
流感,12
流流長,8
流程,13
流體,2
浩劫,4
浪跡,1
浪跡天涯,1
海傍,10
海嘯,41
海地,1
海岸,19
海關,12
海鮮,23
消滅,36
消耗,19
消解,5
消費者,13
消防,16
消防車,4
涉及,32
涼薄,9
淘,58
淘汰,24
深入,76
深受,9
深山,4
深水埗,21
深痛惡絕,3
混亂,73
清明,11
清理,16
清理門戶,3
清閒,3
減慢,9
減肥,18
渡過,20
渣打,7
測驗,18
港督,10
港紙,13
港英,22
渺,36
渾,24
湊仔,13
湊大,7
準繩,7
溫女,5
溫度,33
溫情,7
溺,15
滄桑,13
滋味,19
滑板,4
滑鼠,21
滔,60
滿分,11
滿月,3
滿目瘡痍,4
滿腹經綸,2
滿足感,11
漂,53
漂染,3
漆,60
漆黑,33
漏夜,13
漏斗,3
漏洞,12
演技,29
演算,7
演講,29
漠,45
漠視,15
漫長,22
漲潮,3
漸進,5
潛,158
潛水,11
潛移默化,12
潮流興,3
潮漲,3
潮語,6
澀,38
激動,108
激烈,28
濁,15
瀉,27
瀕臨絕種,2
瀰漫,8
火候,5
火炕,2
火牛,7
火箭,15
火腩,7
火車,42
灰色,36
災區,6
炆,5
炒友,3
炒熱,3
炕,3
炙,12
炬,13
炮製,10
為何,39
為口奔馳,5
為首,14
烏托邦,16
烏煙瘴氣,5
烏龍,3
烹,8
無上,26
無可避免,28
無影無蹤,13
無憂無慮,4
無所事事,10
無故,13
無比,103
無疑,47
無緣無故,10
焦頭爛額,4
煎熬,9
煙花,23
煞食,5
照肺,6
煮飯,18
熄,97
熟習,12
熟落,3
熬,16
熱心,20
熱衷,22
熱鬧,44
燈火,17
燈火通明,9
燈神,14
燒飯,10
營商,7
營業,6
營運,13
燥底,9
燦,31
燭,47
燭光,9
燶,17
爆粗,23
爛口,6
爛尾,15
爭住,16
爭奪,6
爭崩頭,3
爭鬥,6
父親,26
父親節,6
片段,39
版本,47
版權,22
牌品,2
牙擦,4
牛一,8
牛奶,13
物件,40
物體,23
特定,19
特製,8
特赦,3
特首,113
犯罪,33
犯錯,35
狐疑,8
狗屎垃圾,3
狗血淋頭,3
狡,28
狡猾,1
猖獗,11
猛烈,19
猜包剪揼,2
猝,12
猶太,10
猶太人,8
猶豫,48
獎狀,2
獸,242
王室,2
玩具,45
玩完,57
玩意,19
玩笑,69
玲瓏,11
玲瓏浮凸,9
珍寶,3
珍珠,15
珍藏,12
現金,26
球場,24
理應,37
理據,28
理科,45
琢,4
瑞,26
環保,55
環節,29
瓜分,1
甘願,5
甚至無,14
生前,26
生命線,3
生女,19
生定,4
生平,10
生意佬,4
生態,18
生果金,9
生根,10
生物,62
生產力,36
產品,36
產業,24
由始至終,15
由頭到尾,27
甲子,4
男友,113
男士,17
畏,31
留得,11
番號,2
異己,4
異樣,29
當今,13
當住,8
當前,15
當場,26
當家,6
當家作主,4
當差,7
當打,5
當權,16
當歸,2
當黑,6
畸,13
疑似,30
疫苗,3
疲,58
疲勞,12
疲態,2
病假,13
病態,11
病毒,43
病菌,3
痍,6
痛定思痛,6
痛改前非,2
痴呆,14
痴線,234
瘋傳,15
瘟神,2
瘴,9
發作,25
發大,11
發展商,3
發火,7
發炮,2
發狂,13
發癲,29
發育,7
發脾四,2
發臭,8
發財,28
發達,53
發霉,3
白淨,4
白血球,3
白雲,11
百佳,14
百分之,21
百般,8
的士,203
的骰,1
皇家,17
益智,2
盒,200
盔甲,1
盛世,13
盛行,7
盞,51
盟軍,1
盡情,23
監倉,5
目中無人,2
目光如炬,5
目測,9
直線,38
直選,8
相交,12
相片,6
相當之,24
相連,13
眉頭眼額,4
看齊,4
真材實學,3
眨,78
眼光,51
眼利,2
眼濕濕,19
眼紅,9
眼見,41
眼訓,31
眾生,17
睄,23
睇低,1
睇化,5
睇好,28
睇小,13
睇戲,53
睇穿,17
睇起,46
睇醫生,20
睇開啲,5
督,54
矛,121
知名,25
知名度,10
知情,22
知識分子,9
知音,15
短暫,36
石像,3
石山,5
石沉大海,2
砌機,9
破天荒,7
破滅,18
破產,12
破碎,9
破綻,17
硯,3
碰,73
碰釘,2
碳,11
碳排放,4
確切,6
磁,73
磁帶,4
磁石,50
磅,31
磅重,1
磐石,2
示威,140
社交,39
祇,12
祖宗,8
神器,6
神祇,4
神童,7
神靈,4
福利,22
禽,17
私利,7
私相授受,3
私自,8
科學,142
科水,10
秒殺,26
秘書,100
移動,37
稀奇,11
程式,55
稱之為,31
稱兄道弟,1
稿費,5
穀,8
穆,21
積分,10
穩固,4
穩定,66
穴,16
穴位,2
空前,5
空談,5
空頭支票,8
突發,90
窮鬼,3
窺,36
竄,15
竅,38
竊取,3
立憲,3
立足,12
童真,13
竭,31
競爭,50
競爭力,10
笑料,6
笑死,23
笑聲,70
笠,53
符號,53
第度,7
第時,24
筆友,3
筆墨,5
等同,100
策略,44
管束,3
管治,24
管理員,17
箭,97
節拍,20
節食,3
篡,4
篡位,2
篤信,4
籃,61
籃球,39
籃球場,7
籌碼,13
籤,59
粒鐘,29
粗淺,9
粗略,12
粟,34
精力,34
精神病,22
精美,3
精英,19
精靈,40
糊口,6
糖水,33
糟蹋,9
紀念冊,4
紀念品,3
紀錄,58
約束,13
紅塵,9
紅樓夢,12
紅白,7
納,125
紐,21
紐約,16
紓,5
紓緩,4
純熟,13
紙上談兵,5
紙張,11
級別,8
級數,29
紛,88
紛紛,30
紫,91
紫外線,5
累人累物,6
細妹,8
細心,58
細胞,17
細膩,10
細菌,8
終年,5
終極,51
終須,7
絃,2
絕世,10
絕唱,2
絕情,7
絕技,8
絕種,6
統一,51
綑,12
綑綁,7
經文,5
綠,172
綠寶石,3
綠豆,7
綢,2
維也納,1
維修,26
網站,37
網頁,25
緊張,124
緊急,54
緣木求魚,4
編寫,13
編排,10
緩慢,11
縱橫,8
總督,3
總而言之,23
總部,28
繁文縟節,2
繆,2
繪畫,10
繼任,4
纏繞,11
纜,19
罕有,16
罪犯,8
罪行,10
罪證,7
罷,147
罷工,20
美元,19
美貌,13
群體,38
羽毛,11
羽毛球,6
翩翩,7
翻天覆地,11
翻生,6
老人痴呆,5
老化,11
老味,39
老子,14
老牛,4
老粗,1
老翻,16
老老實實,80
老行尊,2
老西,3
老豆,162
老闆,303
老餅,15
老鬼,6
耆,4
耐性,42
耳濡目染,10
聆,17
聆聽,10
聖旨,4
聖誕節,24
聯會,22
聲嘶力竭,12
聲東擊西,2
聲沙,2
聲波,6
聲稱,28
聲譽,10
聽筒,25
肅貪,2
肆無忌憚,6
肌,46
肚瀉,2
股,394
股東,12
股災,6
肥料,4
背影,25
胡亂,49
能耐,6
脆弱,21
脈,99
腐化,6
腐朽,5
腕,27
腦退化,4
腩,31
腳踏,19
腳踏實地,10
腳骨,7
腳骨力,7
腹,56
腿,114
膚淺,29
膩,22
膾炙人口,6
臟,29
臨場,5
自備,7
自家,18
自把自為,7
自殺,138
自殺式,5
自由自在,5
自發,23
自私自利,6
自給自足,7
自足,8
至上,23
至得,15
至無,17
致命,41
與時並進,11
舉中指,1
舉足輕重,10
舊款,4
舟,57
航空,15
航空公司,7
航運,2
般若,1
艇,30
良心發現,5
良莠不齊,5
艱深,13
艱澀,8
芝,64
芝麻,6
芝麻綠豆,5
花瓶,5
花生,102
花甲,5
花繩,2
花錢,4
芳,59
苛,20
苛刻,4
若干,40
若無其事,55
苦中作樂,2
苦悶,4
英國人,29
英明,15
英明神武,3
英語,49
英雄,147
茫然,24
茫茫,17
茶室,5
茶餘飯後,9
草原,7
草根,12
草根階層,4
荊棘,8
荒野,3
荷爾蒙,3
莊子,23
莫名其妙,52
菌,28
萌,21
萌芽,8
萬一,69
萬千,25
萬有引力,4
萬聖節,15
落力,23
落地生根,4
著力,3
著眼,15
蒜,6
蓉,8
蔗,9
蔗渣,6
蕩,68
蕩然無存,9
蕭,42
薪,84
薯條,11
藍天,11
藍色,52
蘿蔔,18
蘿蔔頭,8
處理器,4
虛擬,15
號稱,3
蛋散,27
蝙蝠,6
蝠,6
螢,48
螢火蟲,5
螺,25
螺絲,20
蟻,28
血汗,11
血濃於水,4
血球,3
血肉之軀,1
血腥,14
血跡,7
行唔通,6
行屍走肉,10
行徑,13
行李,50
行檔,1
行街,40
行走,17
行車,11
行開,110
行頭,9
行駛,8
街場,4
街機,3
衛生,64
衝動,38
衣食,15
表弟,9
表裡不一,2
衰仔,23
衰到貼地,5
衰落,3
袖子,1
裂痕,4
補身,2
裝修,18
裝置,28
裝飾,10
裨,2
裸,49
複製,16
褒,8
褒獎,3
襄,11
襲擊,42
西方,77
西褲,16
西醫,16
西面,10
要地,4
要生要死,15
要點,45
見利忘義,3
規模,24
視乎,35
視而不見,3
視覺,20
親人,27
覷,3
觀察入微,2
觀察力,8
解剖,2
解放,20
解說,20
觸動,12
觸發,14
言之成理,5
言行,18
言論,49
討好,12
訓斥,10
記憶力,7
記憶體,3
記者,126
記載,17
訝,89
許可,23
註明,7
詐,39
詐癲納福,1
評估,26
評頭品足,7
詞彙,61
試問,42
試探,33
試用,27
試用期,5
試驗,14
詭,42
話咩,43
話唔定,49
話明,24
話知,14
話知你,7
詳,144
認可,18
認命,6
認得,72
誕生,14
誘,86
誘人,9
誘因,20
誠信,18
誠意,37
說明書,9
說穿,15
課本,5
調查,88
調理,6
調走,1
調轉頭,8
談判,21
談戀愛,20
諉過,6
諉過於人,6
請問,47
請食飯,9
論斷,6
諗深一層,20
諧星,2
諱,11
諱言,3
謀生,3
講得口響,3
講法,164
講理,6
講真,117
講穿,11
講聲,27
講解,37
講閒話,2
謳,9
謹,53
識做,30
警告,72
警惕,13
警犬,4
警隊,21
議會,84
譽,62
變天,4
變節,1
變聲,4
豁,38
豁達,2
豔,28
豪門,2
豫,48
貝,32
負碌,9
負評,9
負面,26
財政,21
貨倉,7
貨品,11
貪心,9
貴夾唔飽,2
貴重,4
買入,6
買少見少,10
買樓,40
貼地,19
貼現,3
貿易,20
賀,35
賄,10
資優,5
資本,41
資產,51
資訊,107
資質,8
賈,8
賊,57
賊船,3
賞析,7
賠,63
賣相,2
賤人,23
賤種,3
質素,101
質量,9
賭場,16
賭錢,8
賺錢,39
贏家,11
贖,29
赤裸,21
走難,7
起名,4
起樓,9
起跑,12
起跑線,11
起身,303
起頭,28
趁機,24
超任,9
超然,10
超生,7
超音鼠,23
超頻,29
趕客,6
趕盡殺絕,5
趕走,25
趙,61
足足,54
跟機,5
跟足,17
路線,67
跳樓,40
跳水,4
踏入,26
踏實,22
蹄,7
蹤,96
身不由己,6
身位,9
身同感受,4
身材,91
軀殼,11
車厘子,5
車尾,11
車尾燈,2
車水馬龍,4
車程,8
軍情,3
軟弱,13
較為,24
輕微,15
輕浮,3
輸蝕,9
轉任,2
轉換,27
轟轟烈烈,6
辛勞,4
辛辣,4
辦事,18
辦公,134
辦公室,123
農場,22
農曆新年,18
農業,8
迅,114
迅速,40
迎頭,10
近代,12
返魂乏術,2
迫不得已,13
迷信,32
迷宮,7
追憶,7
追捧,9
追斬,3
追殺,12
追逐,25
退股,3
退讓,8
逃之夭夭,4
逃出,17
逃生,17
逃離,23
逆境,7
逆線,3
逍遙,8
透徹,12
透支,6
透明度,2
途徑,22
通俗,12
通宵,27
通情達理,4
通話,380
通過,49
速遞,4
連串,39
連珠炮發,8
連線,9
連鎖,16
逮,10
逮捕,6
進一步,98
進佔,3
進化,16
逸,27
遊俠,1
遊山玩水,7
運氣,30
運算,11
運行,8
過世,17
過來,58
過來人,10
過場,11
過大海,4
過氣,2
過熱,4
過癮,51
過關,23
過關斬將,2
違反,44
遞進,4
遠處,56
遠遠,24
遠離,32
適可而止,6
適應,26
遭,94
遭遇,42
遲早,26
遵,22
遵守,14
選舉,156
遺傳,6
邁向,6
邊度,202
邊會,57
邊間,12
郁下,14
部門,49
郭,297
都似,26
鄉紳,2
鄉音,7
鄰國,6
酒店,71
酷刑,10
醜惡,22
醜聞,12
釋放,18
重建,21
重災,4
重災區,4
重磅,6
重覆,73
重賞,1
重重,56
重陽,13
重點,92
野外,6
量化,15
量子力學,6
釐,12
金屬,37
金幣,7
金手指,8
金文,14
金牌,26
金融,239
金龜婿,1
釣金龜,1
鈴,52
鉛筆,11
銀主盤,1
銘,38
銜,20
銜頭,9
銷售,13
銷毀,4
銷量,6
鋤,13
鋤D,3
鋪天蓋地,2
錄音,48
錄音帶,9
錐,8
錐心,7
錫,158
錯別字,7
錯覺,24
鍛鍊,10
鍵盤,9
鎮,131
鐵腕,3
鐵餅,2
鑲,5
鑽,88
鑽研,20
鑽窿,2
長做,6
長做長有,2
長城,18
長輩,20
長輩圖,2
長途電話,2
門戶,6
門檻,15
門神,1
閃,255
閉塞,4
開口埋口,18
開啟,13
開大,24
開宗明義,4
開市,12
開拖,12
開放日,5
開關,9
開關掣,2
開飯,23
閒話,17
間唔中,45
闕,3
關乎,24
關公災難,6
關卡,5
關門大吉,3
關頭,34
防守,10
防止,13
防衛,8
阿叔,88
阿哥,38
阿婆,87
阿媽,395
阿燦,5
阿爸,166
附庸,3
附庸風雅,3
降溫,6
降落,13
陣間,22
除衫,13
除非,127
陪葬,10
陰影,28
陰謀,25
陰間,4
陳舊,8
陵,7
隆重,5
隆重其事,3
隨機,32
隨波逐流,16
隨身,15
隱形,6
隱形眼鏡,2
隻手,269
雀巢,5
集中,81
集中營,4
集會,78
集體,28
集齊,4
雕,26
雕琢,3
雙面人,1
雛,4
雜物,14
雞毛蒜皮,2
離奇,24
離子,13
離職,4
離隊,3
難分難解,2
難睇,18
難聞,10
難講,16
難過,41
難頂,29
雨傘,32
雨遮,12
雨點,4
雲吞麵,29
雷厲風行,4
雷電,3
電壓,3
電池,3
電視,463
電話線,5
電鑽,2
震撼,31
霸權,17
霸王,11
青山,31
青島,24
青年,66
青春期,2
青靚白淨,3
非正式,3
非賣品,3
面具,20
面大,25
面容,28
面對面,13
面皮,11
面積,8
面臨,15
面試,33
面部,10
鞭屍,7
音調,6
音質,2
韻,162
韻味,17
韻律,5
頂啦,4
頂多,20
順眼,13
頌,57
預定,1
預期,38
預祝,4
領軍,5
頭也不回,15
頭架,8
頭緒,22
頸渴,2
顏色,53
願望,25
顛倒,11
顯微鏡,5
風扇,19
風氣,32
風水,27
風聲,18
風行,11
風雲,15
風騷,4
颱風,30
飄渺,16
飛起,11
飛黃騰達,4
食肆,27
食花生,29
食鬼,13
飢,20
飢寒交迫,3
飯盒,44
飲宴,5
飽滿,7
養尊處優,2
養成,6
養活,6
養生,12
餐館,5
餵,73
饑,7
饑寒交迫,1
饑荒,3
饒,10
首屈一指,2
首期,13
首相,4
首選,12
首飾,6
香味,23
香水,8
香江,40
香港地,20
香港大學,12
馬會,13
駁斥,13
駕到,4
駕臨,3
駱,15
駱駝,11
騷,63
驚歎,3
驚訝,81
驛,5
驛站,2
骨牌,2
骨頭,12
骯髒,4
骰,40
髀,21
髒,8
體感,9
體現,14
高位,12
高低,25
高呼,33
高度,38
高手,52
高材生,8
高樓,16
高檔,12
高清,9
高溫,6
高潮,28
高登,180
高等,17
高等教育,4
高舉,27
高薪,9
高薪厚職,5
高貴,7
高達,12
高雅,7
鬆人,3
鬆懈,7
鬆開,9
鬧劇,4
鬼唔望,1
鬼子,5
鬼死咁,11
鬼臉,6
魔女,3
魚滑,2
鱷魚,7
鳳姐,3
鴉片,8
鵰,3
麥記,19
麵包,27
麻煩,141
麻醉,14
黃賭毒,4
黐立立,1
黑箱,8
黑箱作業,5
黑糖,2
黑色,174
黑警,32
默契,17
默默,38
點化,3
點歌,2
點止,8
龍門,26
中途,46
乘客,102
交更,1
全景,2
冚,68
冚旗,1
分鏡,1
創出,2
右手邊,9
咖啡仔,1
咦,147
喜出望外,4
嚮,28
嚮往,15
圈套,10
地產,33
塞車,14
字幕,22
封路,9
屎忽,39
感召,9
手神,3
把持,3
投入感,2
押,87
拒載,2
撞手神,1
暗暗,31
有路,17
樓盤,4
淥,8
無邊,21
牌子,20
異能,2
發動,40
相撞,5
素有,3
素材,4
經紀,13
綠燈,23
維港,20
罐裝,1
美金,24
老屎忽,14
色盲,2
落單,14
西環,25
見工,70
親切感,11
貓奴,2
踩界,6
轉動,15
進發,27
配音,15
醫護,58
重現,11
鐵絲網,3
開創,17
開首,7
陷阱,23
離鄉別井,5
電車,39
電車站,2
餐室,3
鱔稿,2
點呀,261
一共,9
一國兩制,44
中轉,11
中轉站,2
主權,40
九七,25
人治,6
僭,23
僭建,21
元朗,15
全文,18
前途,45
區議員,29
區議會,32
噤,8
噤聲,3
國安,8
國安法,4
埠,14
實施,11
強行,39
恐襲,5
拆穿,7
捍,20
捍衛,20
揭開,9
摧毀,29
擺上枱,2
朗,153
本末倒置,10
條約,5
機關,35
歸宿,1
民選,9
發聲,24
移交,12
繁華,11
美景,7
聲明,58
腐敗,9
自治,22
謊,16
謊言,8
議程,3
開埠,11
附件,1
做嘢,136
制衡,4
化驗,3
含量,4
失蹤,23
官方,62
宣稱,7
家鄉,19
工餘,5
手動,3
抽取,5
拘留,5
機構,53
泄,24
泄露,2
癌,32
癌症,7
直到,123
砒霜,5
砷,2
秘密,75
訪談,1
設立,14
諜,8
超標,6
醫治,4
重金屬,3
間諜,5
㗎啦,58
㗎喎,59
一絕,8
一腳踢,16
下榻,1
不經不覺,9
並用,7
中風,5
但凡,7
入夜,10
兩手空空,5
冇理由,18
刺身,4
包保,5
卻步,4
周邊,8
唔好過,6
唧,25
喘氣,21
地形,4
夠腳,2
山腳,7
山路,5
山難,1
崎嶇,5
帶路,3
快捷,4
戥,18
打魚,3
指示,57
捕獸器,1
探險,5
攀,16
攀山涉水,2
攝,116
攝影,51
攝影師,28
旅館,8
景色,23
望而生畏,1
梯級,7
森,259
森林,22
樹林,9
欄杆,13
次日,4
歇腳,1
止血,4
流水,20
清澈,6
温,13
温泉,1
留念,5
疊水,1
穿插,7
第二朝,26
聽見,20
自己人,38
舒暢,5
落難,2
藝伎,1
血流如注,2
話口未完,4
論盡,5
賴地硬,2
路牌,7
路途,4
路面,20
迎面,12
近似,9
返歸,10
遊客,46
郊遊,4
銹,4
鋪路,2
鐘頭,51
雜草,4
頗,30
風景,51
高山,6
pan,21
不成,50
不成文,3
全名,13
列出,14
務必,3
化學,37
協助,17
原子,22
原子序,1
可有可無,4
品種,10
外資,8
學名,8
專名,11
收錄,74
查詢,8
植物,29
檢索,1
物種,22
特例,4
的說,17
省份,3
簡寫,2
統稱,6
繁多,4
職稱,1
著名,21
行政,82
規劃,9
詞條,37
譯名,5
通順,7
酋,1
間中,39
阿聯酋,1
附加,11
額外,18
類別,11
首府,3
on99,11
三幾,7
另當別論,1
同屬,4
唔嘢少,1
囡,45
囡囡,21
小徑,4
山澗,1
差錯,4
差錯腳,1
徒手,9
懷疑人生,1
手軟,5
斜度,2
晨運,1
朝早,65
毒撚,26
澗,1
短短,42
箭咀,4
粉筆,5
粉筆字,1
脊,48
膽粗粗,5
自虐,11
蚺蛇,1
西南,6
邨,20
險要,1
難度,57
內向,7
圍內,17
多達,8
家屬,8
封鎖線,3
恐嚇,22
手足,45
椒,34
樂富,4
牢獄,1
發射,16
真摯,3
胡椒,16
胡椒球,1
藍田,3
街站,21
被捕,54
警署,14
起訴,1
鋒,90
開設,3
齊整,6
齊齊,32
交接,4
信箱,15
凱,38
外公,17
存貨,2
家訪,7
少量,13
應急,4
晴,51
疫情,23
登記,54
續保,7
街坊,76
超額,4
連續,39
共有,17
只是,135
幫助,64
弟兄,3
志氣,8
文宣,9
葵,26
葵芳,5
藍絲,16
逝世,3
集結,5
七七八八,14
前任,1
前夕,11
區內,15
同行,49
執拾,4
天時,17
天時暑熱,5
康乃馨,3
氣溫,10
穿梭,8
立夏,1
罔顧,2
老人家,75
老友記,2
行人天橋,4
露天,5
點鐘,26
上午,9
孝順,17
節日,21
藉此,12
讚頌,3
打比,7
構成,24
清洗,11
申請,61
窒,70
窒息,20
純屬,12
索取,2
網址,3
親身,23
郵局,1
重用,3
J圖,2
case,21
sir,42
一言一行,4
三月,12
不實,7
不支,3
